Topic,Count,Name,Representation,Representative_Docs
-1,365,-1_america_south_latin_market,"['america', 'south', 'latin', 'market', 'colombia', 'news', 'us', 'new', 'brazil', 'ecuador']","['south america travel vaccines market size 2023 expected reach us 14320 million 2028 76 cagr openpr', 'south america battery testing equipment market size estimated cross worth us 8182 million cagr openpr', 'south america big data analytics market size 2023 expected reach us 958 million 2028 115 cagr openpr']"
0,89,0_venezuela_venezuelas_oil_venezuelan,"['venezuela', 'venezuelas', 'oil', 'venezuelan', 'prensa', 'latina', 'department', 'independence', 'maduro', 'day']","['venezuela google news', 'venezuela electoral decisions united states department department state', 'venezuela national day united states department state department state']"
1,85,1_espn_cup_world_sports,"['espn', 'cup', 'world', 'sports', 'argentina', 'womens', 'win', 'soccer', 'messi', 'brazil']","['uruguay confirm marcelo bielsa coach team 2026 world cup espn espn', 'messis world cup days argentina must rebuild espn espn', 'lionel messi rules playing argentina 2026 world cup espn espn']"
2,82,2_suriname_surinames_loop_caribbean,"['suriname', 'surinames', 'loop', 'caribbean', 'mint', 'debt', 'oilpricecom', 'boom', 'news', 'guyana']","['concerns high influx asians suriname loop caribbean loop news caribbean', 'suriname receive us53 million imf loop caribbean news loop news caribbean', 'suriname google news']"
3,64,3_peru_perus_shaw_local,"['peru', 'perus', 'shaw', 'local', 'volcano', 'emergency', 'osf', 'july', 'agencia', 'noticias']","['ash spewing volcano peru prompts state emergency west australian', 'ash spewing volcano peru prompts state emergency reuters canada', 'peru declares emergency ubinas volcano spews ash dw english']"
4,54,4_brazil_brazils_office_bolsonaro,"['brazil', 'brazils', 'office', 'bolsonaro', 'lula', 'patent', 'trademark', 'rio', 'law', 'new']","['bolsonaro trial could bar brazil exleader office starts bbc', 'brazils jair bolsonaro barred running office 8 years cnn', 'brazil court bans bolsonaro office 8 years npr']"
5,51,5_ecuador_ecuadors_crime_violence,"['ecuador', 'ecuadors', 'crime', 'violence', 'impeachment', 'accords', 'artemis', 'political', 'reliefweb', 'report']","['surge crime violence ecuador reeling world politics review', 'wfp ecuador external situation report 213 june 2023 ecuador reliefweb', 'wfp ecuador external situation report 19 june 2023 ecuador reliefweb']"
6,44,6_bolivias_bolivia_bolivian_latina,"['bolivias', 'bolivia', 'bolivian', 'latina', 'prensa', 'ambassador', 'dollar', 'canada', 'reuters', 'grows']","['analysis bolivias creaking big state model rings warning bell reuters canada', 'venezuela grows despite us sanctions ambassador bolivia asserts prensa latina', 'venezuela grows despite us sanctions ambassador bolivia asserts prensa latina']"
7,38,7_chile_bnamericas_english_chiles,"['chile', 'bnamericas', 'english', 'chiles', 'chilean', 'tax', 'itau', 'alliance', 'treaty', 'pacific']","['chile still reeling infra damage bnamericas english', 'aclara persist permitting chile bnamericas english', 'technological challenges chiles new bnamericas english']"
8,38,8_colombia_colombias_eln_colombian,"['colombia', 'colombias', 'eln', 'colombian', 'ceasefire', 'military', 'group', 'reports', 'minnesota', 'rebel']","['colombian government guerrilla group eln agree sixmonth ceasefire cnn', 'colombias largest active rebel group stop attacks ahead formal ceasefire france 24 english', 'colombias security forces eln inching towards ceasefire colombia reports']"
